"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"207",2018-07-26,665,2,155,72,2,0,0,198,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",2018-07-27,700,2,157,68,5,0,0,199,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",2018-07-28,603,1,161,60,1,0,0,175,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",2018-07-29,619,0,177,49,5,0,0,180,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",2018-07-30,638,2,181,55,5,0,0,157,10,2,"MIL","LAN","N",NA,"LOS03",44933,224,"Dodger Stadium","Los Angeles","CA","107","07-30-2018","vs Milwaukee Brewers","2-5","L","59-48",NA,NA,NA,NA,NA,NA
"212",2018-07-31,667,0,171,57,3,0,0,189,14,10,"MIL","LAN","N",NA,"LOS03",44818,137,"Dodger Stadium","Los Angeles","CA","108","07-31-2018","vs Milwaukee Brewers","0-1","L","59-49",NA,NA,NA,NA,NA,NA
"213",2018-08-01,866,0,170,75,4,0,0,236,9,24,"MIL","LAN","N",NA,"LOS03",41686,199,"Dodger Stadium","Los Angeles","CA","109","08-01-2018","vs Milwaukee Brewers","6-4","W","60-49",NA,NA,NA,NA,NA,NA
"214",2018-08-02,608,3,139,44,4,0,0,168,13,3,"MIL","LAN","N",NA,"LOS03",45087,222,"Dodger Stadium","Los Angeles","CA","110","08-02-2018","vs Milwaukee Brewers","21-5","W","61-49",NA,NA,NA,NA,NA,NA
"215",2018-08-03,684,1,158,64,2,0,0,199,9,1,"HOU","LAN","N",NA,"LOS03",53598,179,"Dodger Stadium","Los Angeles","CA","111","08-03-2018","vs Houston Astros","1-2","L","61-50",NA,NA,NA,NA,NA,NA
"216",2018-08-04,656,1,179,64,5,0,0,200,11,1,"HOU","LAN","N",NA,"LOS03",53119,217,"Dodger Stadium","Los Angeles","CA","112","08-04-2018","vs Houston Astros","0-14","L","61-51",NA,NA,NA,NA,NA,NA
