"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"122",2018-05-02,608,1,158,51,6,0,0,157,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2018-05-03,627,0,154,61,5,0,0,189,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2018-05-04,714,3,200,76,5,0,0,185,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2018-05-05,684,3,189,94,3,0,0,186,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2018-05-06,563,2,175,73,4,0,0,143,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2018-05-07,666,0,150,59,6,0,0,190,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2018-05-08,564,1,160,50,5,0,0,154,9,2,"ARI","LAN","N",NA,"LOS03",45894,269,"Dodger Stadium","Los Angeles","CA","35","05-08-2018","vs Arizona Diamondbacks","5-8","L","15-20",NA,NA,NA,NA,NA,NA
"129",2018-05-09,600,2,158,55,3,0,0,168,8,3,"ARI","LAN","N",NA,"LOS03",45600,228,"Dodger Stadium","Los Angeles","CA","36","05-09-2018","vs Arizona Diamondbacks","6-3","W","16-20",NA,NA,NA,NA,NA,NA
"130",2018-05-10,651,0,161,59,6,0,0,190,4,1,"CIN","LAN","N",NA,"LOS03",47383,179,"Dodger Stadium","Los Angeles","CA","37","05-10-2018","vs Cincinnati Reds","1-4","L","16-21",NA,NA,NA,NA,NA,NA
"131",2018-05-11,640,0,162,59,3,0,0,198,11,0,"CIN","LAN","N",NA,"LOS03",46979,208,"Dodger Stadium","Los Angeles","CA","38","05-11-2018","vs Cincinnati Reds","2-6","L","16-22",NA,NA,NA,NA,NA,NA
